Origin,Destination,Total_Budget_INR,Duration_Days,Recommended_Transport,Transport_Cost_INR,Travel_Time_Hours,Hotel_Name,Hotel_Price_Per_Night_INR,Hotel_User_Rating,Top_Attractions,Total_Attraction_Ticket_Cost_INR
Bhubaneswar,Ahmedabad,13953,5,Train,1255,26,Zostel Premium,1279,3.5,Botanical Gardens & Zoo | Local Market & Food Tour | Hilltop Viewpoint Trek | Science Center & Planetarium,380
Bhubaneswar,Amritsar,11605,3,Flight,8459,4,FabHotel Oasis,653,4.0,Botanical Gardens & Zoo | Historic Fort & Museum | Art Gallery & Cultural Center,1128
Bhubaneswar,Lucknow,5784,4,Train,813,23,Blue Diamond Lodge,609,3.8,Local Market & Food Tour | Art Gallery & Cultural Center | Ancient Temples Complex | Historic Fort & Museum | Science Center & Planetarium | City Palace & Lake Cruise,480
Bhubaneswar,Coimbatore,30901,5,Flight,9771,3,Ginger Eco Suites,1752,4.3,Ancient Temples Complex | Beachfront Promenade | Science Center & Planetarium | Hilltop Viewpoint Trek | Botanical Gardens & Zoo,1920
Bhubaneswar,Surat,13731,3,Flight,5831,6,FabHotel Oasis,1404,3.6,Ancient Temples Complex | Historic Fort & Museum | Beachfront Promenade | City Palace & Lake Cruise,1168
Bhubaneswar,Agra,10402,4,Train,2042,21,Treebo Trend,1024,3.7,Local Market & Food Tour | Historic Fort & Museum | City Palace & Lake Cruise | Botanical Gardens & Zoo | Hilltop Viewpoint Trek | Art Gallery & Cultural Center,600
Bhubaneswar,Pune,22149,4,Flight,10544,5,FabHotel Oasis,1405,3.6,Art Gallery & Cultural Center | Botanical Gardens & Zoo | Ancient Temples Complex | City Palace & Lake Cruise | Science Center & Planetarium,1025
Bhubaneswar,Pune,11267,5,Train,2058,17,Blue Diamond Lodge,682,3.6,Art Gallery & Cultural Center | City Palace & Lake Cruise | Botanical Gardens & Zoo | Local Market & Food Tour,440
Bhubaneswar,Chandigarh,18375,5,Flight,9955,5,FabHotel Oasis,890,3.6,Art Gallery & Cultural Center | Hilltop Viewpoint Trek | Local Market & Food Tour | City Palace & Lake Cruise | Historic Fort & Museum,775
Bhubaneswar,Patna,6128,4,Train,1435,23,Zostel Premium,727,3.8,Botanical Gardens & Zoo | Hilltop Viewpoint Trek | Science Center & Planetarium | City Palace & Lake Cruise,208
Bhubaneswar,New Delhi,4893,3,Train,958,16,Zostel Premium,683,3.9,City Palace & Lake Cruise | Art Gallery & Cultural Center | Ancient Temples Complex | Botanical Gardens & Zoo,224
Bhubaneswar,Coimbatore,5717,2,Train,1195,21,Treebo Trend,1103,3.5,Science Center & Planetarium | Hilltop Viewpoint Trek | Ancient Temples Complex,333
Bhubaneswar,Kochi,8430,5,Train,1599,18,Zostel Premium,848,3.6,Ancient Temples Complex | Botanical Gardens & Zoo | City Palace & Lake Cruise | Hilltop Viewpoint Trek | Beachfront Promenade,235
Bhubaneswar,Patna,5448,2,Train,2393,29,FabHotel Oasis,981,3.7,Science Center & Planetarium | Art Gallery & Cultural Center | Beachfront Promenade | Botanical Gardens & Zoo,172
Bhubaneswar,Visakhapatnam,65085,4,Flight,4405,1,Novotel Hub,6463,4.5,Hilltop Viewpoint Trek | Science Center & Planetarium | City Palace & Lake Cruise | Beachfront Promenade | Historic Fort & Museum | Art Gallery & Cultural Center,2220
Bhubaneswar,Ranchi,3043,2,Train,758,8,Zostel Premium,972,4.0,Hilltop Viewpoint Trek | Ancient Temples Complex | Local Market & Food Tour | Science Center & Planetarium,156
Bhubaneswar,Varanasi,16570,4,Flight,7144,4,Zostel Premium,942,4.1,Science Center & Planetarium | Ancient Temples Complex | Beachfront Promenade,753
Bhubaneswar,Vadodara,5695,4,Train,2490,30,FabHotel Oasis,760,3.8,Art Gallery & Cultural Center | Botanical Gardens & Zoo | Beachfront Promenade | City Palace & Lake Cruise | Local Market & Food Tour | Science Center & Planetarium,288
Bhubaneswar,Chandigarh,46565,7,Flight,10889,4,Ginger Eco Suites,2698,4.4,Botanical Gardens & Zoo | Historic Fort & Museum | Ancient Temples Complex,1296
Bhubaneswar,Mumbai,9327,4,Train,1719,28,Blue Diamond Lodge,824,3.8,Local Market & Food Tour | Historic Fort & Museum | Ancient Temples Complex | Beachfront Promenade | Science Center & Planetarium | Hilltop Viewpoint Trek,660
Bhubaneswar,Ranchi,9469,4,Train,465,8,FabHotel Oasis,1090,3.5,Local Market & Food Tour | Art Gallery & Cultural Center | Historic Fort & Museum | Beachfront Promenade | Hilltop Viewpoint Trek,595
Bhubaneswar,Kolkata,6809,4,Train,1051,9,Zostel Premium,682,3.5,Local Market & Food Tour | City Palace & Lake Cruise | Botanical Gardens & Zoo | Beachfront Promenade | Science Center & Planetarium | Ancient Temples Complex,252
Bhubaneswar,Jammu,5054,2,Train,1544,22,FabHotel Oasis,807,3.8,Botanical Gardens & Zoo | City Palace & Lake Cruise | Local Market & Food Tour | Historic Fort & Museum,380
Bhubaneswar,Vadodara,13124,5,Train,1239,30,Zostel Premium,1268,4.0,Ancient Temples Complex | Historic Fort & Museum | Beachfront Promenade | Art Gallery & Cultural Center | Hilltop Viewpoint Trek,555
Bhubaneswar,Surat,48706,5,Flight,10510,3,Ginger Eco Suites,3586,3.9,Ancient Temples Complex | Local Market & Food Tour | Science Center & Planetarium,1410
Bhubaneswar,Chennai,13651,3,Flight,5398,5,FabHotel Oasis,1218,3.5,Art Gallery & Cultural Center | Hilltop Viewpoint Trek | Beachfront Promenade | Historic Fort & Museum | City Palace & Lake Cruise,2085
Bhubaneswar,Kochi,10405,4,Train,1983,20,Treebo Trend,975,3.5,Historic Fort & Museum | Hilltop Viewpoint Trek | City Palace & Lake Cruise,126
Bhubaneswar,Vadodara,11807,5,Train,1981,17,FabHotel Oasis,1007,3.6,Ancient Temples Complex | Science Center & Planetarium | City Palace & Lake Cruise | Local Market & Food Tour,220
Bhubaneswar,Jammu,27762,5,Flight,6443,3,Sayaji Stay,1966,4.0,City Palace & Lake Cruise | Beachfront Promenade | Botanical Gardens & Zoo,1077
Bhubaneswar,Pune,17420,4,Flight,7269,6,FabHotel Oasis,1228,4.0,Ancient Temples Complex | Science Center & Planetarium | Historic Fort & Museum,1347
Bhubaneswar,Coimbatore,4679,3,Train,1617,19,Treebo Trend,824,4.0,City Palace & Lake Cruise | Hilltop Viewpoint Trek | Beachfront Promenade | Ancient Temples Complex | Botanical Gardens & Zoo | Science Center & Planetarium,684
Bhubaneswar,Shimla,6802,5,Train,2251,19,Blue Diamond Lodge,720,3.9,Beachfront Promenade | Ancient Temples Complex | Local Market & Food Tour | Science Center & Planetarium | Historic Fort & Museum | Botanical Gardens & Zoo,198
Bhubaneswar,Jaipur,7459,5,Train,913,22,Blue Diamond Lodge,864,3.8,Ancient Temples Complex | Hilltop Viewpoint Trek | Botanical Gardens & Zoo,165
Bhubaneswar,Udaipur,13399,3,Flight,10890,4,FabHotel Oasis,850,4.1,Science Center & Planetarium | Art Gallery & Cultural Center | Botanical Gardens & Zoo | Ancient Temples Complex,1240
Bhubaneswar,Dehradun,11383,3,Flight,8090,6,Blue Diamond Lodge,838,4.0,Ancient Temples Complex | Science Center & Planetarium | Art Gallery & Cultural Center | Hilltop Viewpoint Trek | Local Market & Food Tour,1815
Bhubaneswar,Dehradun,17295,4,Flight,9347,3,FabHotel Oasis,1014,4.1,Local Market & Food Tour | Science Center & Planetarium | Ancient Temples Complex,885
Bhubaneswar,Vadodara,7622,3,Train,1420,16,FabHotel Oasis,839,3.9,Science Center & Planetarium | Hilltop Viewpoint Trek | Beachfront Promenade | City Palace & Lake Cruise | Botanical Gardens & Zoo | Ancient Temples Complex,156
Bhubaneswar,Agra,7266,3,Train,1817,19,FabHotel Oasis,847,4.0,City Palace & Lake Cruise | Ancient Temples Complex | Science Center & Planetarium | Local Market & Food Tour | Art Gallery & Cultural Center | Hilltop Viewpoint Trek,150
Bhubaneswar,Amritsar,15236,6,Train,2220,24,Zostel Premium,1158,3.7,Ancient Temples Complex | Botanical Gardens & Zoo | Science Center & Planetarium | Historic Fort & Museum | Art Gallery & Cultural Center,325
Bhubaneswar,Chandigarh,12104,3,Train,2119,26,Treebo Trend,1379,3.6,Ancient Temples Complex | Local Market & Food Tour | Hilltop Viewpoint Trek | Art Gallery & Cultural Center | Historic Fort & Museum,1140
Bhubaneswar,Udaipur,5038,3,Train,1331,20,FabHotel Oasis,662,3.7,Botanical Gardens & Zoo | Historic Fort & Museum | Hilltop Viewpoint Trek | Science Center & Planetarium | Local Market & Food Tour | City Palace & Lake Cruise,552
Bhubaneswar,Hyderabad,8215,3,Train,2355,18,Zostel Premium,846,4.0,Science Center & Planetarium | Botanical Gardens & Zoo | City Palace & Lake Cruise,174
Bhubaneswar,Udaipur,8484,3,Train,2120,26,Blue Diamond Lodge,913,4.0,Art Gallery & Cultural Center | Hilltop Viewpoint Trek | Ancient Temples Complex,342
Bhubaneswar,Lucknow,10141,4,Train,1077,28,FabHotel Oasis,1084,3.6,City Palace & Lake Cruise | Ancient Temples Complex | Botanical Gardens & Zoo | Local Market & Food Tour | Beachfront Promenade | Historic Fort & Museum,294
Bhubaneswar,Guwahati,6882,3,Train,1132,16,Treebo Trend,818,3.9,Ancient Temples Complex | Beachfront Promenade | Botanical Gardens & Zoo | Local Market & Food Tour,452
Bhubaneswar,Bengaluru,28717,7,Flight,6474,4,FabHotel Oasis,1317,4.0,Art Gallery & Cultural Center | Historic Fort & Museum | Local Market & Food Tour | Science Center & Planetarium,1580
Bhubaneswar,Surat,23406,4,Flight,9579,4,FabHotel Oasis,1475,3.8,Science Center & Planetarium | Beachfront Promenade | Historic Fort & Museum | Ancient Temples Complex | Hilltop Viewpoint Trek | City Palace & Lake Cruise,1914
Bhubaneswar,Dehradun,6523,4,Train,1465,31,Blue Diamond Lodge,918,4.0,Botanical Gardens & Zoo | Art Gallery & Cultural Center | Local Market & Food Tour | Hilltop Viewpoint Trek | Historic Fort & Museum,455
Bhubaneswar,Chandigarh,31530,5,Flight,7370,4,Comfort Inn,2259,4.1,Hilltop Viewpoint Trek | Ancient Temples Complex | Botanical Gardens & Zoo | Beachfront Promenade,1212
Bhubaneswar,Jammu,21544,5,Train,1632,19,Ginger Eco Suites,2183,4.1,Art Gallery & Cultural Center | Beachfront Promenade | Hilltop Viewpoint Trek | Ancient Temples Complex | Local Market & Food Tour,1620
Bhubaneswar,Varanasi,38731,7,Flight,9986,3,Comfort Inn,1851,4.2,Science Center & Planetarium | Local Market & Food Tour | Hilltop Viewpoint Trek | Beachfront Promenade | Art Gallery & Cultural Center,1340
Bhubaneswar,Shimla,67072,6,Flight,7670,5,Taj Vista,4223,4.7,Local Market & Food Tour | Beachfront Promenade | Hilltop Viewpoint Trek | Botanical Gardens & Zoo | Art Gallery & Cultural Center,1805
Bhubaneswar,Kochi,9044,4,Train,1426,23,FabHotel Oasis,806,3.8,City Palace & Lake Cruise | Historic Fort & Museum | Art Gallery & Cultural Center | Botanical Gardens & Zoo,232
Bhubaneswar,Visakhapatnam,5853,4,Train,547,6,Blue Diamond Lodge,970,4.1,Hilltop Viewpoint Trek | Local Market & Food Tour | Historic Fort & Museum | Botanical Gardens & Zoo | Art Gallery & Cultural Center,445
Bhubaneswar,Chennai,8294,3,Train,2105,31,FabHotel Oasis,855,3.6,Art Gallery & Cultural Center | Science Center & Planetarium | City Palace & Lake Cruise,111
Bhubaneswar,Jammu,8092,2,Flight,5492,5,Treebo Trend,911,4.0,Local Market & Food Tour | Ancient Temples Complex | City Palace & Lake Cruise | Art Gallery & Cultural Center,1028
Bhubaneswar,Chennai,12668,5,Train,2191,25,FabHotel Oasis,1004,3.8,Ancient Temples Complex | Botanical Gardens & Zoo | Historic Fort & Museum | Science Center & Planetarium | Hilltop Viewpoint Trek,520
Bhubaneswar,Vadodara,8566,3,Train,923,30,Blue Diamond Lodge,1043,3.8,Beachfront Promenade | Historic Fort & Museum | Art Gallery & Cultural Center | Science Center & Planetarium | Botanical Gardens & Zoo | Hilltop Viewpoint Trek,276
Bhubaneswar,Coimbatore,4850,3,Train,1232,16,Treebo Trend,763,3.6,City Palace & Lake Cruise | Beachfront Promenade | Hilltop Viewpoint Trek | Local Market & Food Tour,312
Bhubaneswar,Chandigarh,13868,6,Train,1880,31,Treebo Trend,1065,4.1,Botanical Gardens & Zoo | Hilltop Viewpoint Trek | Historic Fort & Museum | Science Center & Planetarium | Local Market & Food Tour | Art Gallery & Cultural Center,660
Bhubaneswar,Amritsar,9915,4,Train,2145,20,FabHotel Oasis,965,3.9,Ancient Temples Complex | Historic Fort & Museum | Botanical Gardens & Zoo | Hilltop Viewpoint Trek,172
Bhubaneswar,Dehradun,39265,6,Flight,9591,5,Sayaji Stay,2362,4.3,Ancient Temples Complex | Art Gallery & Cultural Center | Local Market & Food Tour | Historic Fort & Museum | City Palace & Lake Cruise | Science Center & Planetarium,1074
Bhubaneswar,Hyderabad,19834,5,Flight,8392,3,Treebo Trend,1050,3.6,Historic Fort & Museum | Beachfront Promenade | City Palace & Lake Cruise | Hilltop Viewpoint Trek,1056
Bhubaneswar,Raipur,27558,6,Flight,4915,1,Comfort Inn,1913,3.9,Science Center & Planetarium | Local Market & Food Tour | Historic Fort & Museum | Botanical Gardens & Zoo | Ancient Temples Complex,780
Bhubaneswar,Jammu,11865,2,Flight,7564,3,FabHotel Oasis,963,3.6,Hilltop Viewpoint Trek | Beachfront Promenade | Local Market & Food Tour | Ancient Temples Complex,1540
Bhubaneswar,Hyderabad,48665,5,Flight,10037,4,Sayaji Stay,3972,3.9,Botanical Gardens & Zoo | Historic Fort & Museum | Local Market & Food Tour | City Palace & Lake Cruise | Art Gallery & Cultural Center | Hilltop Viewpoint Trek,1110
Bhubaneswar,Ranchi,45849,4,Flight,3444,1,Novotel Hub,4394,4.6,Hilltop Viewpoint Trek | Ancient Temples Complex | Science Center & Planetarium | Art Gallery & Cultural Center | City Palace & Lake Cruise | Historic Fort & Museum,1734
Bhubaneswar,Vadodara,7056,3,Train,1325,25,Treebo Trend,1041,3.6,Botanical Gardens & Zoo | Beachfront Promenade | Ancient Temples Complex | Local Market & Food Tour | Hilltop Viewpoint Trek | Historic Fort & Museum,642
Bhubaneswar,Ahmedabad,42528,10,Flight,8332,4,Sayaji Stay,1557,4.4,City Palace & Lake Cruise | Beachfront Promenade | Botanical Gardens & Zoo,552
Bhubaneswar,Ranchi,4173,3,Train,1161,10,Zostel Premium,601,3.8,Historic Fort & Museum | Beachfront Promenade | City Palace & Lake Cruise,141
Bhubaneswar,Pune,17622,3,Flight,5525,5,Comfort Inn,2044,4.2,Art Gallery & Cultural Center | Science Center & Planetarium | Beachfront Promenade | Botanical Gardens & Zoo,1028
Bhubaneswar,Shimla,12232,5,Train,1686,30,Zostel Premium,881,3.6,Ancient Temples Complex | Art Gallery & Cultural Center | Beachfront Promenade | Science Center & Planetarium | Botanical Gardens & Zoo | Historic Fort & Museum,348
Bhubaneswar,Hyderabad,15137,4,Flight,8841,6,Blue Diamond Lodge,941,4.1,Hilltop Viewpoint Trek | Historic Fort & Museum | Ancient Temples Complex | Beachfront Promenade | Local Market & Food Tour | City Palace & Lake Cruise,2790
Bhubaneswar,Amritsar,11318,3,Flight,5072,5,FabHotel Oasis,887,3.7,Local Market & Food Tour | Historic Fort & Museum | Beachfront Promenade | Hilltop Viewpoint Trek | Art Gallery & Cultural Center,1750
Bhubaneswar,Pune,17819,3,Train,2926,23,Sayaji Stay,2333,4.2,Hilltop Viewpoint Trek | Art Gallery & Cultural Center | Beachfront Promenade | Historic Fort & Museum | City Palace & Lake Cruise | Ancient Temples Complex,2832
Bhubaneswar,Hyderabad,8582,3,Train,945,16,Treebo Trend,1072,3.8,Historic Fort & Museum | Hilltop Viewpoint Trek | Art Gallery & Cultural Center,141
Bhubaneswar,Kolkata,19153,5,Flight,5140,2,Treebo Trend,1448,3.5,Art Gallery & Cultural Center | Ancient Temples Complex | Hilltop Viewpoint Trek | Beachfront Promenade | Local Market & Food Tour,1220
Bhubaneswar,Coimbatore,19959,5,Flight,7423,3,FabHotel Oasis,1102,4.0,Science Center & Planetarium | City Palace & Lake Cruise | Botanical Gardens & Zoo | Local Market & Food Tour | Art Gallery & Cultural Center | Historic Fort & Museum,2076
Bhubaneswar,Agra,20562,5,Flight,9065,4,FabHotel Oasis,930,3.9,Hilltop Viewpoint Trek | Botanical Gardens & Zoo | Ancient Temples Complex | Local Market & Food Tour | City Palace & Lake Cruise,1830
Bhubaneswar,Chennai,56684,5,Flight,10540,5,Comfort Inn,3764,4.3,Hilltop Viewpoint Trek | Local Market & Food Tour | Ancient Temples Complex,1152
Bhubaneswar,Chandigarh,7366,3,Train,1853,26,Blue Diamond Lodge,849,3.7,Historic Fort & Museum | Ancient Temples Complex | Beachfront Promenade | Botanical Gardens & Zoo,132
Bhubaneswar,Bengaluru,6921,3,Train,945,28,Blue Diamond Lodge,874,3.8,City Palace & Lake Cruise | Beachfront Promenade | Botanical Gardens & Zoo | Art Gallery & Cultural Center,436
Bhubaneswar,Chennai,8585,3,Train,1259,24,FabHotel Oasis,1311,3.9,Botanical Gardens & Zoo | Historic Fort & Museum | Ancient Temples Complex | Beachfront Promenade | Art Gallery & Cultural Center | Local Market & Food Tour,240
